Tarih Saat,Sıcaklık,Bağıl Nem,Basınç,Toprak Sıcaklığı
15/11/2020 16:14:12,12.1,46,902.1,9.4
15/11/2020 17:14:40,10.1,48.3,902.2,9.1
15/11/2020 18:15:07,6.5,53.1,902.4,8.9
15/11/2020 19:15:37,4.6,55.2,903,8.5
15/11/2020 20:16:00,5.9,56.6,903.3,8.2
15/11/2020 21:16:29,4.3,59.9,903.4,7.9
15/11/2020 22:16:57,5.4,58.4,903.5,7.7
15/11/2020 23:17:24,2.7,63.6,903.9,7.5
16/11/2020 00:17:54,4.2,62.4,903.9,7.3
16/11/2020 01:18:18,4.2,61.9,903.7,7.2
16/11/2020 02:18:47,4.7,60.9,903.3,7.2
16/11/2020 03:19:23,4.3,61.6,903.1,7.2
16/11/2020 04:19:51,3.6,62.9,903,7.2
16/11/2020 05:20:21,3,64,903,7
16/11/2020 06:20:48,0.8,66.1,903.1,6.8
16/11/2020 07:21:12,-0.1,66.8,903.4,6.6
16/11/2020 08:21:38,2.4,64.7,904.3,6.4
16/11/2020 09:22:07,6.5,59.3,904.3,6.2
16/11/2020 10:22:32,11.7,49.4,904.3,6.3
16/11/2020 11:23:03,12.6,47.5,904.4,6.9
16/11/2020 12:23:35,14.8,44.9,903.8,7.5
16/11/2020 13:24:02,14.3,44,903.1,8.2
16/11/2020 14:24:33,15.1,42.3,902.9,8.8
16/11/2020 15:25:00,13.2,43.8,902.8,9.2
16/11/2020 16:25:31,11.9,45.3,902.9,9.4
16/11/2020 17:26:00,9.6,48.7,902.7,9.3
16/11/2020 18:26:28,6.3,53.1,902.7,9.1
16/11/2020 19:26:56,4.9,54.8,903.2,8.7
16/11/2020 20:27:25,2.8,55.4,903.4,8.3
16/11/2020 21:27:55,2.8,57.1,903.5,7.9
16/11/2020 22:28:20,2,58.4,903.7,7.7
16/11/2020 23:28:46,1.8,59.8,904,7.4
17/11/2020 00:29:15,1.6,60.4,904.1,7.1
17/11/2020 01:29:40,0.7,61.6,904.3,6.8
17/11/2020 02:30:09,0.3,62.5,904.6,6.6
17/11/2020 03:30:36,0.1,63.1,905,6.4
17/11/2020 04:31:03,0.3,62.4,904.9,6.1
17/11/2020 05:31:29,0.1,64.7,905.2,5.9
17/11/2020 06:31:56,-0.8,67,905.4,5.7
17/11/2020 07:32:20,-1.3,68.4,906.2,5.5
17/11/2020 08:32:48,-0.6,65.7,907.2,5.4
17/11/2020 09:33:14,7.4,54.2,906.7,5.3
17/11/2020 10:33:43,10.4,49.4,906.7,5.5
17/11/2020 11:34:12,11.9,48,906.9,6.1
17/11/2020 12:34:40,13.5,45.2,906.7,6.8
17/11/2020 13:35:11,12.6,45.8,906.4,7.6
17/11/2020 14:35:43,12.7,44.4,906.2,8.2
17/11/2020 15:36:12,16.2,40.1,906,8.6
17/11/2020 16:36:41,12.7,42.7,905.7,8.8
17/11/2020 17:37:10,9.1,49.7,905.5,8.8
17/11/2020 18:37:40,5.4,54.8,905.8,8.5
17/11/2020 19:38:08,4.6,54.9,906.3,8.1
17/11/2020 20:38:37,2.3,57.3,906.3,7.8
17/11/2020 21:39:01,3.4,58,906.3,7.4
17/11/2020 22:39:32,1.2,60.1,906.6,7.1
17/11/2020 23:40:01,1.5,61.2,906.6,6.8
18/11/2020 00:40:28,0.7,62.1,906.7,6.6
18/11/2020 01:40:53,1.4,59.9,906.3,6.3
18/11/2020 02:41:18,0.1,63.5,906.6,6.1
18/11/2020 03:41:44,1.1,63.8,906.6,5.9
18/11/2020 04:42:14,-1,65.2,906.5,5.7
18/11/2020 05:42:40,-1.6,66.7,906.5,5.5
18/11/2020 06:43:05,-0.9,65.8,906.5,5.3
18/11/2020 07:43:35,-1.7,67.1,907.1,5.1
18/11/2020 08:44:00,1.1,64.7,907.7,5
18/11/2020 09:44:27,5.8,56.3,907.2,4.9
18/11/2020 10:44:55,9.3,51.5,907.1,5.2
18/11/2020 11:45:26,14.1,44.9,906.6,5.9
18/11/2020 12:45:56,14.9,43.1,906,6.7
18/11/2020 13:46:23,14.4,42.6,905.4,7.5
18/11/2020 14:46:57,14.4,41.6,905.2,8.1
18/11/2020 15:47:24,13.2,42.4,904.9,8.5
18/11/2020 16:47:55,10.8,47.1,904.7,8.6
18/11/2020 17:48:24,6.8,52.5,904.2,8.4
18/11/2020 18:48:53,6.5,54.9,904.6,8.2
18/11/2020 19:49:23,6.9,56,904.5,7.9
18/11/2020 20:49:49,5.9,58.6,904.7,7.7
18/11/2020 21:50:17,6.2,57.7,904.4,7.5
18/11/2020 22:50:46,5.4,59.2,904.5,7.4
18/11/2020 23:51:15,5.9,58.1,904.5,7.3
19/11/2020 00:51:44,5.5,56.2,904.1,7.2
19/11/2020 01:52:10,6.1,53.8,903.7,7.1
19/11/2020 02:52:40,4.4,60.7,903.8,7
19/11/2020 03:53:08,4.2,62.3,903.6,6.9
19/11/2020 04:53:32,3.1,65.4,903.8,6.8
19/11/2020 05:54:02,2.9,66.5,903.5,6.7
19/11/2020 06:54:29,3,66.1,903.5,6.6
19/11/2020 07:54:56,3,65.7,903.8,6.5
19/11/2020 08:55:26,4.1,63.4,903.5,6.4
19/11/2020 09:55:53,4.7,61.2,903.4,6.4
19/11/2020 10:56:18,7.7,54.6,903.1,6.6
19/11/2020 11:56:48,6.7,54.6,902.5,6.9
19/11/2020 12:57:16,7.8,52.7,901.7,7.2
19/11/2020 14:58:20,7.4,52.2,900.5,7.7
19/11/2020 15:58:43,7,52.5,900.3,7.8
19/11/2020 16:59:10,6,53.5,899.8,7.7
19/11/2020 17:59:40,5.4,53.8,899.1,7.6
19/11/2020 19:00:08,5.1,52.7,898.8,7.5
19/11/2020 20:00:38,4.6,51.7,898.4,7.3
19/11/2020 21:01:05,3.6,53,898.1,7.2
19/11/2020 22:01:31,3.1,54.5,897.9,7
19/11/2020 23:02:02,3.2,55,897.4,6.8
20/11/2020 00:02:28,3.3,55.1,897.3,6.7
20/11/2020 01:02:55,3.1,55.3,896.3,6.6
20/11/2020 02:03:25,2.6,56.4,896.3,6.5
20/11/2020 03:03:51,2.5,57.4,895.9,6.4
20/11/2020 04:04:18,2.5,57.7,894.9,6.4
20/11/2020 05:04:46,2,61.9,895.2,6.3
20/11/2020 06:05:12,3,59.2,895.2,6.2
20/11/2020 07:05:43,1.6,66.8,895.4,6.2
20/11/2020 08:06:07,1.7,69.3,896.3,6.2
20/11/2020 09:06:35,2.2,68.4,896.9,6.1
20/11/2020 10:07:00,1.8,68.5,896.4,6.1
20/11/2020 11:07:30,2.6,69.1,896.9,6.2
20/11/2020 12:07:57,4.3,66.8,895.7,6.3
20/11/2020 13:08:46,6.2,63.9,895,6.7
20/11/2020 14:08:55,5.6,65.6,894.9,7.1
20/11/2020 15:09:21,5.2,66.2,895.4,7.3
20/11/2020 16:09:52,5.8,64.7,895.8,7.4
20/11/2020 17:10:19,4.7,68.5,896,7.4
20/11/2020 18:10:51,4.4,69.4,895.7,7.3
20/11/2020 19:11:17,3.5,70.1,896.3,7.2
20/11/2020 20:11:46,3.6,67.8,896.7,7.1
20/11/2020 21:12:15,3.8,63.7,897.5,6.9
20/11/2020 22:12:42,4,60.4,897,6.8
20/11/2020 23:13:11,3.9,61.3,897.6,6.7
21/11/2020 00:13:42,3.6,61.4,897.7,6.6
21/11/2020 01:14:08,3.3,60.8,897.8,6.5
21/11/2020 02:14:35,2.7,61,898.1,6.3
21/11/2020 03:15:05,2.5,60.4,898.5,6.2
21/11/2020 04:15:31,2.2,60.1,898.4,6
21/11/2020 05:15:56,1.9,60.2,898.9,5.8
21/11/2020 06:16:24,0.9,61.2,899.4,5.7
21/11/2020 07:16:55,1.1,60.4,900.5,5.5
21/11/2020 08:17:19,1.3,60.7,901.9,5.4
21/11/2020 09:17:46,4.4,55.9,902.5,5.2
21/11/2020 10:18:15,6.9,52.7,902.6,5.3
21/11/2020 11:18:47,7.8,50.6,902.9,5.7
21/11/2020 12:19:14,10.2,46.4,903.2,6.2
21/11/2020 13:19:45,12.9,42.1,903.2,6.9
21/11/2020 14:20:11,10.6,43.3,903.3,7.5
21/11/2020 15:20:43,10.7,42,903.4,7.9
21/11/2020 16:21:13,9.6,43.5,903.5,8
21/11/2020 17:21:40,6.8,50.2,903.9,7.9
21/11/2020 18:22:09,2.8,55,904.2,7.7
21/11/2020 19:22:37,3.8,54.2,904.6,7.3
21/11/2020 20:23:04,3.2,55.1,905.2,7
21/11/2020 21:23:33,2.3,56.2,905.4,6.7
21/11/2020 22:24:03,3.7,54.8,905.5,6.5
21/11/2020 23:24:28,3.1,56.9,905.9,6.3
22/11/2020 00:24:58,0.4,61.4,906,6
22/11/2020 01:25:24,-1.2,63.8,906.2,5.8
22/11/2020 02:25:51,-1.7,64.3,906.4,5.5
22/11/2020 03:26:18,-1.3,64.9,906.4,5.2
22/11/2020 04:26:44,-2.7,66.5,906.9,5
22/11/2020 05:27:10,-2.9,67.7,906.9,4.7
22/11/2020 06:27:37,-4,68.9,907.5,4.5
22/11/2020 07:28:03,-3,68.6,908.1,4.3
22/11/2020 08:28:28,-1.6,67.2,909.2,4.1
22/11/2020 09:28:55,3.6,57.6,909.2,4
22/11/2020 10:29:24,3.9,58.6,909.1,4.1
22/11/2020 11:29:53,9.9,49.1,908.9,4.6
22/11/2020 12:30:23,11.6,45.1,908.8,5.3
22/11/2020 13:30:59,10.6,46.7,908.5,6.1
22/11/2020 14:31:22,11.9,43.5,908.4,6.7
22/11/2020 15:31:50,10.3,46.7,908.2,7.1
22/11/2020 16:32:21,7.5,50.9,908.1,7.2
22/11/2020 17:32:47,4,55.1,908.3,7.1
22/11/2020 18:33:16,1,58.1,908.3,6.8
22/11/2020 19:33:45,2,58.6,908.8,6.4
22/11/2020 20:34:11,0.9,59.3,909.2,6
22/11/2020 21:34:38,2.1,57,909,5.7
22/11/2020 22:35:08,1.5,56.4,909.1,5.5
22/11/2020 23:35:34,0.6,58.1,908.9,5.3
23/11/2020 00:36:05,-0.5,60.4,909.4,5.1
23/11/2020 01:36:29,-2.3,62.8,909.2,4.9
23/11/2020 02:37:00,-2.3,63.4,909.3,4.6
23/11/2020 03:37:34,-2.7,64.2,909.6,4.4
23/11/2020 04:37:58,-2.4,63.4,909.4,4.1
23/11/2020 05:38:24,-3.9,65.9,909.5,3.9
23/11/2020 06:38:51,-6.7,68.8,909.6,3.7
23/11/2020 07:39:19,-4.1,65.8,909.9,3.5
23/11/2020 08:39:44,-3.1,65,910.8,3.4
